Name,Cuisine/Type,Price,What I Ordered,Distance,Rating (out of 5),Review,Latitude,Longitude,Website
Hawksmoor,Steak,"£30 (3 courses + bone marrow gravy, £19 for a single course (Steak&Chips))","Yorkshire Pudding with Beef fat, bacon, and onion gravy, Steak and Chips, Pavlova",Close,5,"One of my favourite places to eat in the whole of Manchester, I just wanted to eat here on lunch cause I wanted to. Beware for the 3 courses it might take a while to get seated and eaten, but aside from that, gotta be one of the best steak places in Manchester, with immaculate vibes inside. Its one of those places that make you feel real fancy for sure.",53.4789712,-2.2493758,https://thehawksmoor.com/
Pieminister,Pie,£15.67,Beef Pie w/ Mash Gravy and Slaw,Close,4.5,"One of the more pricey places on the list, however for good reason. You can never go wrong with a good pie mash and gravy, and pieminster delievers on all of these fronts. Id recommend sitting in for this if possible, but note that this place is not particuilarly ""fast"" in getting your order completed",53.4827941,-2.2360245,https://www.pieminister.co.uk/
Gerrys,Jianbing,£8,Spicy Curry Chicken Jianbing,Moderate (Food truck at Pic Gardens,4.5,"After the ""Incident"" that happened on 24/10/2025 (Those who know…) I have been questioning whether to keep doing this list after losing my second in command. However, that would be a disservice to the places that deserve recognition, and 3 months later I'm back because of my guy Gerry. This place is the best place for a Jianbing in Manchester. mainly cause there is only one place that does Jianbing but thats not the point. We hit all the key points with this as we are at a resonable price for a load of good tasting food with so many flavours. Its only fair to give Gerry a high score because it was so good it made me return back to this list.",53.48075,-2.2376,
Bisous Bisous,Foccaia,£4.50,Have Tried all of them,Close,4,"Bisous Bisous is up there with being one of the most common answers of ""where should I eat?"" when visiting the manchester office. With a fairly cheap price and offering a selection of really nice foccaia its hard to not give this place its deserved reccomendation",53.481783,-2.2471755,https://bisousbisous.co.uk/
Bunsik,Korean,£8.90,Chicken Bimimbap,Far (Pic Garden),4,"Bimimbap generally is fairly consistent in what you get, only real difference is in the kimchi across different establishments. So the question is why do I think Bunsik is a whole 0.5 higher than Koreana? Price plays a role, but you also get a larger serving of rice. Overall the quality is slightly lower than koreana, but the price and quantity is better.",53.4805972,-2.2371852,https://bunsik.co.uk/
Street Guys (Street Star),Burgers,£8,"""Street"" (Double Patty) Burger meal",Close,4,"Its hard these days to find a solid burger joint that wont charge you 10 great british pounds for the privilage to eat a solid smash burger, but street guys have you covered. Really juicy patties, peri salted chips and multiple tubs of sauce for free puts street guys high up on my reccomend list if you feel like being less healthy for the day. One of the few places on this list that I can safely say is halal if that is a deal breaker for you.",53.46445,-2.2284,https://street-guys.co.uk/
Listo's,Burrito,£11,Large Beef Burrito,Moderate (Oxford Road),4,"Ever since the death of Chango's (undisputed best buritoin manchester) all the way back in 2019, Listo's rose from the ashes of that place and still delivers to what I believe is to be the best burrito in Manchester. There might be less options in terms of specifics things you can have, the fact nothing is an extra price is how burritos should be done. I find the burritos more flavourful than panchos and has a better selection of hot sauce, but with a weaker rice. There is a world where I would give it a 4.5 based on previous experiences, but for the time I went with the research squad was more of a 4 performance.",53.46055,-2.227,https://www.listoburrito.com/
Panchos,Burrito,£9.50,Tried Multiple Burritos,Far (Arndale Food Market),3.5,"Some will say Panchos do the best burritos in Manchester, I am not one of those people but that doesn’t take away the fact the burritos are very good. My biggest gripe with Panchos is how soggy the wrap often becomes especially after walking back to the office. I prefer the burritos at Listo's on Oxford road, but I can see why people highly rate this place",53.4834,-2.2403,https://www.panchosburritos.co.uk/
Koreana,Korean,£11.50,Chicken Bimimbap,Close,3.5,"Bimimbap is something that I always crave once every couple months and koreana is a solid spot to scratch that itch. It has a bit more flexibility in what you can do to your meal compared to Bunsik's bimimbap, and it being much closer makes it more appealable to try out.",53.4815059,-2.2492617,https://koreana.co.uk/
Wong Wong,Bakery,~£2.50 (per item),"Pork Bun, Taro Roll, Pandan Bun, Cream Bun, Pinapple Bun",Moderate (Near St Peters),3.5,"You can never go wrong when shopping at Wong Wongs (Someone please hire me for catchy slogans like this). This little bakery has stood the test of time, I remember enjoying a lot of the buns back in 2016, and now in 2025 I can safely say they still got it. I don't know how they have managed to withstand inflation but the prices are pretty damn cheap for what you get. Id easily say this is my favourite chinese bakery in the whole of Manchester.",53.47845,-2.24015,https://www.wongwongbakery.com/
Ban Mi Co Ba,Vietnamese,£9,Char Siu Ban Mi,Moderate(Start of Oxford road),3.5,"The elites wont tell you this but the world is governed by triangles, everywhere you look you will see a triangle whether it be the pyarmids, Maslows hierachy of needs, diarylea cheese triangles… you get the point or three. How this is relavant to a food rating is a good question, and that is because my baseline rating comes from the triangle formed between - Price, Taste, Quantity. The char siu ban mi might be more on the expensive side, and it is moderately filling, however the taste punches above its weight. It doesnt feel great to spend so much on a glorified sandwich, but it sure is on the upper echelons when it comes to taste.",53.4699,-2.2318,
Zaap,Thai,£15,Red Thai Curry w/ Rice and Char Siu Buns,Close,3,"Disclamier - We had this meal for free as they gave the first 100 customers during its opening day a free meal. This one is hard to rate accurately as free food always tastes better, but I will say that I did enjoy my Red Thai Curry. Take this opinion with a grain of rice but I was a little bit disappointed with the sticky rice that came with it, however this could easily be a me issue as I eat much more rice than the average joe and have become particularly picky when it comes to that.",53.4787,-2.2389,https://zaapthai.co.uk/
Go Falafel,Falafel,£8?,Large Falafel Wrap,Close,3,"The ""Benny GoFalafel Revolution"" and its concequences have been a blessing for the human race (for employees at amentums manchester office). Outside of meal deals, I think the most prolific source of takeaway wrappers found in the office will be from Go Falafel. Solid bang for buck for what you get, however as the name suggests, you can only get falafel, which means your personal rating of this place is based on how much you like falafel. ",53.4812,-2.248,https://gofalafel.co.uk/
Greek Gyros & Bar,Gyros,£11.40,Chicken Souvlaki Wrap,Close,3,"I can't remember if this place allows for take out, but we sat in for this one and while it was a bit more on the spenny side for a souvlaki wrap, with the portion of chips that came with it made it super filling. From what I remember, the food was good, however I do remember the service being slow for this one and wouldnt reccomend if you are in a rush.",53.4809,-2.2467,https://www.greekgyrosandbar.com/
Ram Yum,Korean,~£10,"Korean Aranchini Balls, Kimchi Wrap",Far (Close to Big Vimto),3,"There has been a suprising lack of asian fusion places in this list, but we have finally reached one here. Everything here is super solid, the only real downside is that it is a bit of a trek to get here and the portion sizes are fairly small. Also this is ran by one of Richard's (Crane) friends, so it feels a lot better to hand my money over to a person rather than a faceless corporation.",53.4754,-2.2544,https://www.ramyum.org.uk/
Holy Grain Bakery,Sandwich,£6.50,"The Meat one (Cured meat, cheese, saurkarut)",Close/Moderate (Near the Odeon),3,"An anonymous tip came in for this place and so we fast tracked this spot for a place to try and hearing the raving reviews. Sadly, for a fella such as myself who had experienced Biscous Biscous (RIP) this place couldn’t live up to that standard, despite being more pricey. My main issue with the meat sandwich itself was a lack of oomfpt, if we had a bit of mustard in there I think id be rating this place higher, but as it is, we have a above average sandwich with nothing to really write home about.",53.4851,-2.241,https://thegreatnorthern.com/unit/holy-grain/
Shirleys,Sandwich,£5,Cant remember,Close,2.5,"Shirley this place is good right? (please laugh at the pun I am begging you) Shirley is a proper builders lunch type of place, cheap prices and healthy portions that really scratches that itch when you are feeling a bit more gluttonous during the day. You wont be on the rooftops singing the praises of the deliciousness of shirley's, but you might be sat on your chair rubbing a rounder belly afterwords.",53.4799,-2.244,
Soup Co,Hotpot/Noodle Soup thing,£19 (price depends on weight and I messed up for sure),"Spicy Noodle Soup with cuttlefish, baby octopus, fish roe balls, lobster balls and assortment of veg",Moderate (Road going to Pic Gardens from St Peters),2.5,"This is one of those places where you say to yourself ""next time I go I know what to do"" kinda places since you pick out what you want and place it in a bowl and pay by weight. And once you realised you have put too much of one thing in, you cant really be putting things back which is not the best feeling. For the price, I did get a lot of food, but it was spenny for sure. It felt like an infeiror hotpot since you completely remove the whole communial aspect from it, and since you arnt the one putting the items in the soup itself the soup flavour doesnt develop over time like it does in a hotpot soup.",53.48055,-2.238,
Topkapi,Turkish,£7,Mixed Shwarma Wrap,Close,2,"It does the job, Can't really complain - Service was quick aswell. However, due to the existance of another Gyros/Wrap Equivalent on the list, this brings the score on this down despite it being cheaper.",53.4792,-2.2455,https://www.topkapipalace.co.uk/
Rolawala,Indian Fusion?,£9.50,Lamb Naan Roll,Close,2,"Unsure if this place is still open. Food was alright, abit more on the spenny side for how much you get, and the biggest issue I had (which was more of a wrap issue) was how liquididy the food was and was leaking everwhere and leaving stains.",53.4793,-2.2486,https://rolawala.com/manchester/
HOP,Vietnamese,£13.40,"Chicken Satay Rice Box, Veg Dumplings",Moderate,2,"I cannot say I recommend the chicken satay rice box from HOP, nothing really stood out to me for this one. I have been told that the satay is not their best rice box and I should have tried a different one, which if I get around to it I'll ammend this rating. Overall this one is fairly forgettable, except that I do remember not enjoying the rice that much from here.",53.4781,-2.246,https://www.hopvietnamese.com/
This n That,Indian,£7.00,"Rice + 2 Meat, 1 Veg (Chiken Tikka, Lamb Karahi, Daal)",Far Far (Northen Quarter),2,"I think this will be by far the most controversial rating on the list. This n That is highly rated as being one of the best places for curry and rice in the whole of manchester with its flavour and really cheap price. My rating is not fair to the restaurant as my biggest issue I have with this place is that after every bite I think ""I rather have my mum's curry"". I never really go to curry houses, and when I do, I don't rate them highly mostly due to the fact that I rather eat my mums homemade curries. So please do disregard my rating on this one, unless you have a similar situation to me, which then you probably werent gonna try here anyway.",53.4843,-2.2328,https://www.thisandthatcafe.co.uk/
Lets Sushi,Ramen,£12,Ramen,Moderate (Road going to Pic Gardens from St Peters),2,"I wont lie that I do have a bit of blind spot when it comes to the ramen inside of manchester, however using the Shouryu coeffiecent in this rating does bring this place down a fair bit. The soup base while initally hitting that ramen itch I was craving, it did feel a little bit flat in terms of depth comapred to the broth in shoryu which is sadly why I have to give this place a rating of 2. It did have CPOP playing in the resturaunt though which was cool since you don't hear that too often.",53.4806,-2.2384,https://www.letussushi.co.uk/
Katsouris,Sandwich,£7.20,Half Steak Sandwich,Close,1.5,"Disclamier - This was one of the first places I tried when I went to this office which is over 7 months ago, so my memories are a bit hazy on this one. I do remember vivdly enjoying this sandwich, but kept on thinking about the price I paid for HALF of a sandwich while eating it. Sadly I cannot reccomend this place on price alone, unless you are okay with spending a hefty premium and are looking to eat a small lunch",53.482,-2.2452,https://katsourisdeli.com/
Pizza Pilgrim,Pizza,Free (One Slice for Opening),Margherita,Very Close,1.5,"DISCLAIMER - THIS WAS A FREE SLICE OF PIZZA AND THEY WERE GIVING OUT 1000 FREE SLICES. So given that this rating may not be representative of the actual place when they are not trying to cook 1000 slices to give out, however I can only rate based on what I had ate. Sadly, the free slice had many issues, first being how it was cooked. Could tell that it was placed in an oven too hot for too short of a period of time as you had a charred crust and uncooked flour on the bottom. The tomato sauce they used was also lacking, it tasted one dimentional and needed something like basil to really elevate it. Yet again this rating may not be 100% accurate considering the circumstances.",53.483,-2.244,https://www.pizzapilgrims.co.uk/pizzerias/manchester/
HoniPoke,Poke Bowl,£14.95,Honi Poke Bowl + Extra Tuna,Close,1.5,"The big RC warned me about this place as I quote ""its mid as hell"" whatever that means, im not up with the slang. Anyway he wasn't wrong this place was infact ""mid fr fr"". I can't say I was impressed by the rice, the chilli oil or even the slices of raw fish that was there. And with a fairly small portion size for the price its not great on that front either. It seems like its one of those places for the super health concious for those who are into that and not really anyone else.",53.481,-2.247,https://www.honipoke.com/
Middle Point (?),Kebab,£9.50,Kobeda Wrap,Far (Arndale Food Market),1,"Ever have a meal where after the first two bites you are thinking I wish I could eat somewhere else? I genuinely was thinking is it possible to go to wimslow road/curry mile during work hours while eating this. I don’t have kobeda often and when I do its always a top tier one, so having a poor tasting one in a wrap, not even a naan wrap just felt really bad. Maybe im being too harsh on them with my comparisions, however the feeling was so strong agaisnt it, its hard for me to ignore these facts. ",53.4835,-2.2404,
Ohannes Burger,Burger Meal,£15,"Burger, Chips, Tenders, Halluomi Fries",Moderate (Salfordishy),3,"In a post Street Guys/Star/whatever they are called now world, burger places will always have to compete with them. I wont lie I did enjoy the meal here even if it wasn’t mind blowing and was considering giving it a 3.5. However looking at how a street star meal was £8, it really felt like 3.5 would be too high for this place. Comparison is the thief of joy, and street star might need to be locked up for 3 accounts of robbery for its lasting damage to the burger meal world of Manchester.",53.486,-2.257,https://www.ohannesburger.co.uk/
